sample,name,group,latitude (N),longitude (E),206Pb/238U date (Ma),error (x),error (y),error (z),MSWD,n,reference
NSVG-RRR,Red Rock Rhyolite,North Shore Volcanic Group (lower NE sequence),47.904,-89.7577,1105.6,0.32,0.42,1.3,0.64,5,"Swanson-Hysellet al., 2019"
AP71,Agate Point rhyolite flow,Osler Volcanic Group,48.6072,-88.1987,1105.15,0.33,0.56,1.3,1.4,9,"Swanson-Hysellet al., 2019"
MP111-182,Flour Bay tuff,Mamainse Point Formation,47.0691,-84.7427,1100.36,0.25,0.42,1.2,1.4,9,"Swanson-Hysellet al., 2014"
CF1,Sheep Farm Rhyolite,Kallander Creek Volcanics,46.3755,-90.6372,1098.24,0.45,0.63,1.3,1.3,4,"Swanson-Hysellet al., 2019"
NSVG-40I,40th Avenue Icelandite,North Shore Volcanic Group (upper SW sequence),46.8204,-92.0413,1096.75,0.28,0.53,1.3,1.7,7,"Swanson-Hysellet al., 2019"
NSVG-TH1, icelandite within Two Harbors basalts,North Shore Volcanic Group (upper SW sequence),47.0703,-91.6039,1096.18,0.32,0.54,1.3,0.83,4,"Swanson-Hysellet al., 2019"
NSVG-PR1&PR2,Palisade Rhyolite,North Shore Volcanic Group (upper SW sequence),47.3445,-91.1894,1093.94,0.28,0.52,1.3,2.6,7,"Swanson-Hysellet al., 2019"
MS99-30,Palisade Rhyolite,North Shore Volcanic Group (upper SW sequence),47.346,-91.188,1094.2,0.2,0.4,1.5,0.7,19,"Schoene et al., 2006"
NSVG-GMR1,Grand Marais Rhyolite,North Shore Volcanic Group (upper NE sequence),47.7494,-90.3515,1093.52,0.43,0.57,1.3,1,6,"Swanson-Hysellet al., 2019"
PLV-CC1,Copper City Flow,Portage Lake Volcanics,47.2758,-88.3803,1093.37,0.53,0.69,1.4,0.33,3,"Swanson-Hysellet al., 2019"
PLV-GS1,Greenstone Flow ,Portage Lake Volcanics,47.3882,-88.3005,1091.59,0.27,0.52,1.3,1.4,6,"Swanson-Hysellet al., 2019"
BBC-SBA1,Silver Bay aplite intrusion,Beaver Bay Complex,47.3143,-91.2281,1091.61,0.14,0.3,1.2,1,6,"Fairchild et al., 2017"
LST -KP1,Keweenaw Point andesite,Lake Shore Traps,47.4331,-87.7147,1085.57,0.25,0.5,1.3,1.5,5,"Fairchild et al., 2017"
MI-WSB1 West,Sand Bay tuff,Michipicoten Island Formation,47.7117,-85.8871,1084.35,0.2,0.34,1.2,0.88,6,"Fairchild et al., 2017"
MI-DI1,Davieaux Island Rhyolite,Michipicoten Island Formation,47.6947,-85.8056,1083.52,0.23,0.35,1.2,0.86,5,"Fairchild et al., 2017"
PRI,Partridge River intrusion,Duluth Complex (layered series),47.548,-92.1074,1096.19,0.19,0.36,1.15,0.45,6,"Swanson-Hysellet al., 2020"
BEI,Bald Eagle intrusion,Duluth Complex (layered series),47.7516,-91.568,1095.89,0.19,0.36,1.15,1.59,6,"Swanson-Hysellet al., 2020"
AS3,Duluth gabbroic anorthosite,Duluth Complex (anorthositic series),46.7621,-92.159,1095.86,0.19,0.36,1.15,0.43,8,"Swanson-Hysellet al., 2020"
FC1,Forest Center gabbroic anorthosite 1,Duluth Complex (anorthositic series),47.7827,-91.3266,1095.81,0.16,0.34,1.14,1.44,10,"Swanson-Hysellet al., 2020"
FC4b,Forest Center gabbroic anorthosite 4,Duluth Complex (anorthositic series),47.7677,-91.3753,1095.69,0.18,0.35,1.14,0.34,7,"Swanson-Hysellet al., 2020"
HCT,Houghtaling Creek troctolite,Beaver Bay Complex,47.6009,-91.1497,1095.44,0.26,0.4,1.16,1.13,4,"Swanson-Hysellet al., 2020"
WLFG,Wilson Lake ferrogabbro,Beaver Bay Complex,47.662,-91.0619,1091.63,0.35,0.46,1.18,0.74,5,"Swanson-Hysellet al., 2020"
BBC-SBA1,Silver Bay intrusion,Beaver Bay Complex,47.3143,-91.2281,1091.61,0.14,0.3,1.2,1,6,"Swanson-Hysellet al., 2020"
MS99033,Silver Bay anorthosite,Beaver Bay Complex,47.28888,-91.26358,1091.83,0.21,0.37,1.15,0.41,6,"Zhang et al., 2021"
F2020-5,"Panamint Mountains, CA",SWLLIP,35.9623,-116.90123,1097.91,0.29,0.42,1.17,0.79,8,"Mohr et al., 2024"
CS-4-GEOCHRON,"Panamint Mountains, CA",SWLLIP,35.96244,-116.88572,1098.27,0.27,0.41,1.16,0.35,9,"Mohr et al., 2024"
CS-7-GEOCHRON,"Ibex Range, SE CA",SWLLIP,35.81503,-116.38968,1098.09,0.91,0.96,1.45,1.57,4,"Mohr et al., 2024"
MM2021-CA1,"Dead Mountains, SE CA",SWLLIP,35.08636,-114.75425,1082.6,0.3,0.43,1.16,1.53,8,"Mohr et al., 2024"
MM21-R52-CB3Z,"Grand Canyon rm. 52, N AZ",SWLLIP,36.28344,-111.8926,1082.18,1.25,1.29,1.68,0.09,4,"Mohr et al., 2024"
MS17-107-01,"Grand Canyon, rm. 107, N AZ",SWLLIP,36.23335,-112.33145,1098.16,0.59,0.66,1.28,0.67,4,"Mohr et al., 2024"
K12-132L,"Grand Canyon, rm. 132, N AZ",SWLLIP,36.35093,-112.45621,1098.09,0.34,0.46,1.18,1.53,9,"Mohr et al., 2024"
JT19-AA-01,"Salt River Canyon, central AZ",SWLLIP,33.80767,-110.47423,1097.97,0.12,0.32,1.14,1.54,13,"Mohr et al., 2024"